MP x, MP y, MP z, Energy (Ha)
1, 1, 1, -31.303021014119814
2, 2, 2, -33.077945873487693
3, 3, 3, -33.093889692578692
4, 4, 4, -33.229950956524526
5, 5, 5, -33.166670380546016
6, 6, 6, -33.227205892135117
7, 7, 7, -33.185750641204692
